Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
210357967,Bir Kadının Kavgaları ve Dönüşümleri,Édouard Louis,"Louis, Édouard",Ayberk Erkay,"=""975076319X""","=""9789750763199""",4,Can Yayınları,Paperback,80,2024,2021,2026/04/25,2026/03/09,,,read,,,,1,0
55818945,Babamı Kim Öldürdü,Édouard Louis,"Louis, Édouard",Ayberk Erkay,"=""9750746945""","=""9789750746949""",4,Can Yayınları,Paperback,56,2020,2018,2026/04/27,2026/04/30,,,read,,,,1,0
223717285,Çiçeklenmeler,Melisa Kesmez,"Kesmez, Melisa",,"=""9750537882""","=""9789750537882""",2,İletişim,Paperback,113,2025,,2026/04/16,2026/04/17,,,read,"Melisa Kesmez’den okuduğum ikinci kitap bu. Yazarın naif üslubu kesinlikle okuru bir yas hikayesinde bile sarıp sarmalıyor, insanı güvende hissettiriyor. Ama Çiçeklenmeler’deki o fazla zarif tesadüfler bende hikayenin inandırıcılığını zayıflatan bir duygu yarattı. Arka kapağıdan Türkan’ın yıllar süren alışkanlıklarından sıyrılıp yasıyla yaşamayı öğrenirken vereceği o sancılı mücadeleyi görmeyi beklemiştim. Onun yerine kendimi olayların hızla aktığı ve biraz da karavan estetiğiyle süslenmiş bir yol hikayesinin içinde buldum.<br/><br/>Hayatını bir adamı severek geçirmiş ve uzun süre o sevginin gölgesinde kalmış bir ruhun karavanıyla yollara düştüğü iyileşme hikayesi zaten yeterince klişeyken, bir de yolculuğun daha ilk durağında kendine yeni bir yol arkadaşı bulması ve bu arkadaşlığın güneşinde hemen çiçeklenmesi bana hayatın gerçeğinden uzak, fazla iyimser ve steril geldi. Türkan’ın iç sesini daha fazla duyabilseydik, bir kadına iyi gelen yol arkadaşı bir erkek değil de keşke bu sefer başka bir kadın olsaydı belki daha ikna edici ve çok daha samimi bir hikaye olurdu.",,,1,0
202012049,Önemi Yok,Ágota Kristóf,"Kristóf, Ágota",Feyza Zaim,"=""9750762258""","=""9789750762253""",4,Can Yayınları,Paperback,96,2023,2005,,2026/04/13,,,read,,,,0,0
6115447,Pinhan,Elif Shafak,"Shafak, Elif","Elif Şafak, Anna Akbike Sulimowicz","=""""","=""""",2,Metis,Paperback,218,2001,1997,,2026/04/12,,,read,,,,1,0
12090860,İskender,Elif Shafak,"Shafak, Elif","Elif Şafak, Omca A. Korugan","=""6050902518""","=""9786050902518""",3,Doğan Kitap,Paperback,448,2011,2011,,2026/04/12,,,read,,,,1,0
9782817,Firarperest (Turkish Edition),Elif Shafak,"Shafak, Elif",Elif Şafak,"=""6051119027""","=""9786051119021""",2,Doğan Kitap,Paperback,232,2014,2010,,2026/04/12,,,read,,,,1,0
6341492,Aşk,Elif Shafak,"Shafak, Elif","Elif Şafak, K. Yiğit Us","=""6051111077""","=""9786051111070""",3,Doğan Kitap,Paperback,419,2009,2009,,2026/04/12,,,read,,,,1,0
6482590,Dokuzuncu Hariciye Koğuşu,Peyami Safa,"Safa, Peyami",,"=""9754370486""","=""9789754370485""",4,Ötüken Neşriyat,Paperback,112,1968,1930,,2026/04/12,,,read,,,,1,0
636802,Çalıkuşu,Reşat Nuri Güntekin,"Güntekin, Reşat Nuri",,"=""9751000122""","=""9789751000125""",5,İnkılâp Kitabevi,Paperback,448,1992,1922,,2026/04/12,,,read,,,,1,0
61770166,Küçük Yuvarlak Taşlar,Melisa Kesmez,"Kesmez, Melisa",,"=""""","=""""",3,İletişim Yayıncılık,Paperback,84,2022,2022,2026/04/10,2026/04/12,,,read,,,,1,0
58445809,Yaşamadan Ölmeyeceğim,Maud Ankaoua,"Ankaoua, Maud",Gülşah Ercenk,"=""605746320X""","=""9786057463203""",2,Yan Pasaj,Paperback,304,2021,,,2026/04/12,,,read,,,,0,0
11390422,Huzursuzluğun Kitabı,Fernando Pessoa,"Pessoa, Fernando",Saadet Özen,"=""975070665X""","=""9789750706653""",5,Can Yayınları,Paperback,675,2006,1982,,2026/04/10,,,read,,,,0,0
34984528,Cimri,Molière,"Molière, Molière",Sabahattin Eyüboğlu,"=""9754588414""","=""9789754588415""",4,Türkiye İş Bankası Yayınları,Hardcover,130,2016,1668,,2026/04/10,,,read,,,,1,0
30137594,Pir-i Lezzet!,Saygın Ersin,"Ersin, Saygın",,"=""""","=""""",1,April,Paperback,320,2016,2016,,2026/04/10,,,read,,,,1,0
9269253,Bulantı,Jean-Paul Sartre,"Sartre, Jean-Paul",Selahattin Hilav,"=""9755102108""","=""9789755102108""",5,Can Yayınları,Paperback,264,1994,1938,,2026/04/10,,,read,,,,1,0
15841038,Büyülü Dağ,Thomas Mann,"Mann, Thomas",İris Kantemir,"=""9755108726""","=""9789755108728""",5,Can Yayınları,Paperback,423,2011,1924,,2026/04/10,,,read,,,,1,0
16151182,Sahilde Kafka,Haruki Murakami,"Murakami, Haruki",Hüseyin Can Erkin,"=""605111386X""","=""9786051113869""",4,Doğan Kitap,Paperback,656,2009,2002,,2026/04/10,,,read,,,,1,0
31574675,Belgelerim,Alejandro Zambra,"Zambra, Alejandro",Çiğdem Öztürk,"=""6059851827""","=""9786059851824""",3,Notos Kitap,Paperback,210,2016,2013,,2026/04/10,,,read,,,,1,0
