Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2021-04-25,Pieces of a Woman,2020,https://boxd.it/1OKq1p,3.5,Yes,Vanessa Kirby sana benden bir oscar bebeğim <3,,2021-04-25
2021-04-26,The Art of Racing in the Rain,2019,https://boxd.it/1OWaA3,4.5,,"Somewhere, the zebra is dancing!",,2021-04-25
2021-05-11,As Good as It Gets,1997,https://boxd.it/1QZAnX,4.5,,Just two people that like warm rolls :),,2021-05-11
2021-05-22,The 100 Year-Old Man Who Climbed Out the Window and Disappeared,2013,https://boxd.it/1SoPBJ,4,,O nasıl mizah !!,,2021-05-21
2021-06-22,Oscar and the Lady in Pink,2009,https://boxd.it/1Wvvdd,3,,"Kitap uyarlaması film rezaleti klişesinin güzel bir örneği olmasına rağmen mon petit Oscar'a ve tanrının adresini bilmeden ona yazdığı minik mektuplara gelsin puanım :)

"" Seul Dieu a le droit de me réveiller""",,2021-06-22
2021-08-11,Annette,2021,https://boxd.it/23GQ8D,4,,Adam Driverı bir de muzikalde gorduk <3,,2021-08-10
2021-08-12,The Lovers on the Bridge,1991,https://boxd.it/23RSED,3,,Biri bana şu son sahnedeki titanik olayini fizik kurallariyla anlatsin!,,2021-08-12
2021-08-17,Amores Perros,2000,https://boxd.it/24ykZj,3.5,,<blockquote>Çünkü biz aslında biraz da kaybettiklerimiziz</blockquote>,,2021-08-16
2021-08-20,Noah Land,2019,https://boxd.it/24ZbZD,3,Yes,NBC sen misin?,,2021-08-19
2021-08-21,Chungking Express,1994,https://boxd.it/258YDz,3,,Super ultra mega overrated,,2021-08-21
2021-08-24,The Sea Inside,2004,https://boxd.it/25xzCh,4.5,,Mükemmel!,,2021-08-23
2021-08-26,Mary and Max,2009,https://boxd.it/25OUkR,4.5,,Tam vakti zamanında izlemişim bu filmi. P.s.s.s. : que serayi pink martini yorumuyla dinletti ilk defa <3,,2021-08-25
2021-09-13,Another Round,2020,https://boxd.it/28pyxh,4,,Mads abimiz eglendi biz de izledik,,2021-09-12
2021-09-18,Enemy,2013,https://boxd.it/293ynB,3,,Ne anladığımı bile anlamadım,,2021-09-18
2021-11-07,The Souvenir,2019,https://boxd.it/2gyNA1,2.5,,Yine sanat filmi izliyoruz diye kendimize işkence ettik,,2021-11-06
2022-08-08,Carol,2015,https://boxd.it/36Ki3d,2.5,,"Senarist Therese kişilik yüklemeyi unutmuş öyle ki karakter kendisi filmde buna isyan ediyor :(
""because I just take everything and I don't know anything. And I don't know what I want. How could I when all I ever do is say ""Yes"" to everything?",,2022-08-08
2022-08-09,The Aviator's Wife,1981,https://boxd.it/36ZGM7,4,,Sondaki şarkıya yüreğimi bıraktımmm :'(,,2022-08-09
2022-08-10,The Shape of Water,2017,https://boxd.it/378Dq1,3.5,,Your presence fills my eyes with Your love!,,2022-08-09
2022-08-12,The Lobster,2015,https://boxd.it/37wjPj,3.5,,Metaforlar oldukça keskin! Bu da yönetmenin tarzını anlamayı kolaylaştırıyor ve bence diğer filmlerinden alınacak zevke zemin hazırlıyor,,2022-08-11
2022-08-12,The Green Ray,1986,https://boxd.it/37ymRh,3.5,,Kuzum inan hiç beklemedigin bir anda geliyor,,2022-08-11
2022-08-14,Drive My Car,2021,https://boxd.it/37V2p9,3.5,,"""Bir şeyler olmalı, dayanamıyorum!",,2022-08-13
2022-08-14,45 Years,2015,https://boxd.it/384w9t,4.5,,"""I'd like to be able to tell you everything I'm thinking. But I can't.",,2022-08-14
