Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-08-16,Gonnawatchinşallah,,https://boxd.it/7Hkd0,

Position,Name,Year,URL,Description
1,You Can Count on Me,2000,https://boxd.it/1Omi,
2,It's Only the End of the World,2016,https://boxd.it/be0K,
3,Liberal Arts,2012,https://boxd.it/2Y7O,
4,The Killing of a Sacred Deer,2017,https://boxd.it/dZ5G,
5,The Two Popes,2019,https://boxd.it/k8Xk,
6,The Lobster,2015,https://boxd.it/7tnw,
7,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA,
8,Soul Kitchen,2009,https://boxd.it/1jGm,
9,No Country for Old Men,2007,https://boxd.it/21ew,
10,Innocence,1997,https://boxd.it/1j9W,
11,Night on Earth,1991,https://boxd.it/2ayq,
12,The Skin I Live In,2011,https://boxd.it/99A,
13,Wild Strawberries,1957,https://boxd.it/29ZU,
14,Time to Love,1965,https://boxd.it/46cu,
15,Winter Light,1963,https://boxd.it/1nrU,
16,Uncut Gems,2019,https://boxd.it/gXGc,
17,A Tale of Three Sisters,2019,https://boxd.it/jEJ8,
18,Ford v Ferrari,2019,https://boxd.it/ce74,
19,La Belle Indifference,2019,https://boxd.it/mlAi,
20,Us,2019,https://boxd.it/gnV6,
21,Phantom Thread,2017,https://boxd.it/e4uc,
22,Roma,2018,https://boxd.it/f69M,
23,Lumière!,2016,https://boxd.it/etNe,
24,Leviathan,2014,https://boxd.it/7Ub8,
25,Yozgat Blues,2013,https://boxd.it/6q4a,
26,Inside,2012,https://boxd.it/3tPi,
27,Once Upon a Time in Anatolia,2011,https://boxd.it/2yHG,
28,Certified Copy,2010,https://boxd.it/IMW,
29,Honey,2010,https://boxd.it/SEo,
30,Majority,2010,https://boxd.it/uk0,
31,The Invention of Lying,2009,https://boxd.it/1zGs,
