Date,Name,Year,Letterboxd URI
2020-08-16,Winter Light,1963,https://boxd.it/1nrU
2020-08-16,You Can Count on Me,2000,https://boxd.it/1Omi
2020-08-16,Liberal Arts,2012,https://boxd.it/2Y7O
2020-08-16,The Two Popes,2019,https://boxd.it/k8Xk
2020-08-16,The Skin I Live In,2011,https://boxd.it/99A
2021-03-21,Heat,1995,https://boxd.it/2bg8
2021-03-21,Collateral,2004,https://boxd.it/28F0
2021-04-25,To Die For,1995,https://boxd.it/2a5o
2021-05-02,Tangerines,2013,https://boxd.it/71vM
2021-05-02,Sideways,2004,https://boxd.it/1Y5c
2021-05-02,Innocence,1997,https://boxd.it/1j9W
2021-05-02,The Mitchells vs. the Machines,2021,https://boxd.it/i7xm
2021-05-11,The English Patient,1996,https://boxd.it/2arE
2021-05-16,The Intervention,2016,https://boxd.it/bO52
2021-05-16,Hachi: A Dog's Tale,2009,https://boxd.it/1q4a
2021-05-22,The 101-Year-Old Man Who Skipped Out on the Bill and Disappeared,2016,https://boxd.it/eeyy
2021-08-11,Love Me If You Dare,2003,https://boxd.it/20bm
2021-08-12,My Nights Are More Beautiful Than Your Days,1989,https://boxd.it/2we8
2021-08-12,The Beautiful Person,2008,https://boxd.it/152W
2021-08-22,A Single Girl,1995,https://boxd.it/3uzA
2021-08-23,Detachment,2011,https://boxd.it/2BiY
2021-08-24,Night and Fog,1956,https://boxd.it/29A6
2021-08-24,Sans Soleil,1983,https://boxd.it/28B8
2021-08-26,Personal Shopper,2016,https://boxd.it/bkGM
2021-09-04,Spencer,2021,https://boxd.it/qPMG
2021-09-14,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,https://boxd.it/2ark
2021-09-22,The Only Living Boy in New York,2017,https://boxd.it/3jRe
2021-09-30,House of Gucci,2021,https://boxd.it/nVkC
2021-10-04,The Hateful Eight,2015,https://boxd.it/8gw8
2021-10-04,La Vie en Rose,2007,https://boxd.it/28OQ
2021-10-08,Pickpocket,1959,https://boxd.it/29O8
2021-10-27,Colette,2018,https://boxd.it/gdM4
2021-10-28,Blissfully Yours,2002,https://boxd.it/LFu
2021-11-08,Easy Rider,1969,https://boxd.it/29Ys
2021-11-08,Wild Strawberries,1957,https://boxd.it/29ZU
2021-12-13,West Side Story,2021,https://boxd.it/iwt0
