Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2021-04-25,Pieces of a Woman,2020,https://boxd.it/1OKmTd,3.5,,,2021-04-25
2021-08-20,Noah Land,2019,https://boxd.it/24ZaHt,3,,,2021-08-19
2021-11-05,Scenes from a Marriage,2021,https://boxd.it/2ggMqX,4,,,2021-11-05
2021-11-22,Eiffel,2021,https://boxd.it/2iUAcx,3.5,,,2021-11-21
2023-01-07,The Banshees of Inisherin,2022,https://boxd.it/3EUBmJ,4,,,2023-01-07
2023-11-21,Bihter: A Forbidden Passion,2023,https://boxd.it/5c6Der,0.5,,,2023-11-21
2025-05-06,Decision to Leave,2022,https://boxd.it/9ClbsV,3.5,,,2025-05-05
2025-11-08,Pierrot le Fou,1965,https://boxd.it/bDw14L,2,,,2025-11-07
2025-11-14,It Was Just an Accident,2025,https://boxd.it/bHQTeh,,,,2025-11-13
2025-12-16,Sentimental Value,2025,https://boxd.it/c4m8Oz,4,,,2025-12-15
