Letterboxd list export v7
Date,Name,Tags,URL,Description
2021-03-08,21,,https://boxd.it/bprMm,

Position,Name,Year,URL,Description
1,The Painted Veil,2006,https://boxd.it/1OyS,
2,Soul,2020,https://boxd.it/ioLA,
3,Eternity and a Day,1998,https://boxd.it/1wSq,
4,Se7en,1995,https://boxd.it/29zs,
5,Kate & Leopold,2001,https://boxd.it/1Uj0,
6,A Few Good Men,1992,https://boxd.it/29nw,
7,Nomadland,2020,https://boxd.it/lnRy,
8,To the Wonder,2012,https://boxd.it/gpU,
9,Stuck Apart,2021,https://boxd.it/o2cU,
10,I Care a Lot,2020,https://boxd.it/mcHk,
11,Schindler's List,1993,https://boxd.it/2aq2,
