Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2021-03-11,Cold War,2018,https://boxd.it/1Ioinz,2.5,,,2021-03-10
2021-03-12,Vicky Cristina Barcelona,2008,https://boxd.it/1Ivw7f,3,,,2021-03-11
2021-03-12,The Painted Veil,2006,https://boxd.it/1Ivwvr,4.5,,,2021-03-11
2021-03-12,Soul,2020,https://boxd.it/1IvwzD,5,,,2021-03-11
2021-03-12,Eternity and a Day,1998,https://boxd.it/1IvwDP,4,,,2021-03-11
2021-03-12,Se7en,1995,https://boxd.it/1IvwIZ,3,,,2021-03-11
2021-03-12,Kate & Leopold,2001,https://boxd.it/1IvwNv,2.5,,,2021-03-11
2021-03-12,A Few Good Men,1992,https://boxd.it/1IvwRH,4.5,,,2021-03-11
2021-03-12,Nomadland,2020,https://boxd.it/1IvwWx,3,,,2021-03-11
2021-03-12,To the Wonder,2012,https://boxd.it/1IvwZL,3.5,,,2021-03-11
2021-03-12,Stuck Apart,2021,https://boxd.it/1Ivx4r,2,,,2021-03-11
2021-03-12,I Care a Lot,2020,https://boxd.it/1Ivx6R,0.5,,,2021-03-11
2021-03-12,Schindler's List,1993,https://boxd.it/1Ivxa5,5,,,2021-03-11
2021-03-13,Being John Malkovich,1999,https://boxd.it/1ID9xF,4,,,2021-03-12
2021-03-14,Little Women,2019,https://boxd.it/1IQqgx,4,,,2021-03-14
2021-03-16,The Devil All the Time,2020,https://boxd.it/1J5zmp,4,,,2021-03-16
2021-03-17,It's Only the End of the World,2016,https://boxd.it/1Jd1yn,3.5,,,2021-03-16
2021-03-21,21 Grams,2003,https://boxd.it/1JIhr5,3.5,,,2021-03-20
2021-03-24,Palm Springs,2020,https://boxd.it/1K9xtv,2.5,,,2021-03-23
2021-04-11,While We're Young,2014,https://boxd.it/1MIrkb,3.5,,,2021-04-11
2021-04-12,Time to Love,1965,https://boxd.it/1MRN2V,2.5,,,2021-04-11
2021-04-15,The Fountain,2006,https://boxd.it/1NjrLl,4,,,2021-04-14
2021-04-22,Like Crazy,2011,https://boxd.it/1OjspJ,3,,,2021-04-21
2021-04-23,Call Me by Your Name,2017,https://boxd.it/1OrXOB,2.5,,,2021-04-23
2021-04-24,Collateral Beauty,2016,https://boxd.it/1Oyydz,4.5,,,2021-04-23
2021-04-25,Pieces of a Woman,2020,https://boxd.it/1OKq1p,3.5,Yes,,2021-04-25
2021-04-26,The Art of Racing in the Rain,2019,https://boxd.it/1OWaA3,4.5,,,2021-04-25
2021-04-27,Little Miss Sunshine,2006,https://boxd.it/1P57hb,3.5,,,2021-04-26
2021-04-30,On Body and Soul,2017,https://boxd.it/1PsMMF,3.5,,,2021-04-30
2021-05-02,Sound of Metal,2019,https://boxd.it/1PHT6L,3.5,,,2021-05-01
2021-05-04,Amélie,2001,https://boxd.it/1Q3gV5,4,,,2021-05-03
2021-05-05,La Belle Époque,2019,https://boxd.it/1QcuYF,4.5,,,2021-05-05
2021-05-09,Minari,2020,https://boxd.it/1QE4s5,4.5,,,2021-05-08
2021-05-09,Love Likes Coincidences 2,2020,https://boxd.it/1QH8Id,2.5,,,2021-05-08
2021-05-11,As Good as It Gets,1997,https://boxd.it/1QZAnX,4.5,,,2021-05-11
2021-05-16,Lady Bird,2017,https://boxd.it/1RCveT,3.5,,,2021-05-15
2021-05-22,The 100 Year-Old Man Who Climbed Out the Window and Disappeared,2013,https://boxd.it/1SoPBJ,4,,,2021-05-21
2021-05-26,Love in the Afternoon,1957,https://boxd.it/1SX8eH,2,,,2021-05-25
2021-05-30,Friends: The Reunion,2021,https://boxd.it/1Trxr7,2.5,,,2021-05-29
2021-06-03,Love in the Afternoon,1972,https://boxd.it/1U3oWV,3.5,,,2021-06-03
2021-06-20,Pain and Glory,2019,https://boxd.it/1Wdl9f,2,,,2021-06-20
2021-06-22,Oscar and the Lady in Pink,2009,https://boxd.it/1Wvvdd,3,,,2021-06-22
2021-07-01,To the Bone,2017,https://boxd.it/1XCfBB,2,,,2021-06-30
2021-07-14,Wonder,2017,https://boxd.it/1Zxf3n,3,,,2021-07-13
2021-07-30,Inglourious Basterds,2009,https://boxd.it/21Wpjt,4,,,2021-07-30
2021-08-04,Winter Sleep,2014,https://boxd.it/22EG8b,5,,,2021-08-03
2021-08-05,Once Upon a Time in Anatolia,2011,https://boxd.it/22NvbB,3,,,2021-08-04
2021-08-06,Climates,2006,https://boxd.it/22Xufd,3.5,,,2021-08-06
2021-08-11,Annette,2021,https://boxd.it/23GQ8D,4,,,2021-08-10
2021-08-11,Never Look Away,2018,https://boxd.it/23GQDB,4,,,2021-08-10
2021-08-12,"Love, Rosie",2014,https://boxd.it/23ODgl,3,,,2021-08-11
2021-08-12,The Lovers on the Bridge,1991,https://boxd.it/23RSED,3,,,2021-08-12
2021-08-17,Amores Perros,2000,https://boxd.it/24ykZj,3.5,,,2021-08-16
2021-08-19,Whiplash,2014,https://boxd.it/24SA4D,4.5,,,2021-08-19
2021-08-20,Noah Land,2019,https://boxd.it/24ZbZD,3,Yes,,2021-08-19
2021-08-21,Chungking Express,1994,https://boxd.it/258YDz,3,,,2021-08-21
2021-08-23,Little White Lies,2010,https://boxd.it/25nVGZ,4,,,2021-08-22
2021-08-24,The Sea Inside,2004,https://boxd.it/25xzCh,4.5,,,2021-08-23
2021-08-24,The Secret Life of Walter Mitty,2013,https://boxd.it/25yWG9,3.5,,,2021-08-23
2021-08-26,Mary and Max,2009,https://boxd.it/25OUkR,4.5,,,2021-08-25
2021-09-13,Another Round,2020,https://boxd.it/28pyxh,4,,,2021-09-12
2021-09-18,Enemy,2013,https://boxd.it/293ynB,3,,,2021-09-18
2021-09-20,Anima,2019,https://boxd.it/29iLFj,2.5,,,2021-09-19
2021-09-20,The Father,2020,https://boxd.it/29lO5f,4.5,,,2021-09-20
2021-09-29,Shame,2011,https://boxd.it/2auEWP,3,,,2021-09-28
2021-10-04,A Heart in Winter,1992,https://boxd.it/2bi8V1,5,,,2021-10-04
2021-10-10,Cinderella Man,2005,https://boxd.it/2ccpWd,4.5,,,2021-10-10
2021-10-11,Shiva Baby,2020,https://boxd.it/2cj9Zf,2.5,,,2021-10-11
2021-10-12,The Guilty,2021,https://boxd.it/2ctLWj,3.5,,,2021-10-12
2021-10-12,Locke,2013,https://boxd.it/2ctOqb,3.5,,,2021-10-12
2021-10-15,Moonrise Kingdom,2012,https://boxd.it/2cV3t9,4,,,2021-10-15
2021-10-24,The Last Samurai,2003,https://boxd.it/2enjQj,3.5,,,2021-10-24
