Letterboxd list export v7
Date,Name,Tags,URL,Description
2020-08-16,Favorites,,https://boxd.it/7HCIA,

Position,Name,Year,URL,Description
1,Amour,2012,https://boxd.it/34Q6,
2,The Hunt,2012,https://boxd.it/3wEC,
3,Frances Ha,2012,https://boxd.it/41Xg,
4,Marriage Story,2019,https://boxd.it/hJAw,
5,The Double Life of Véronique,1991,https://boxd.it/28va,
6,Toy Story,1995,https://boxd.it/29qA,
7,Something Useful,2017,https://boxd.it/gMaY,
8,Paterson,2016,https://boxd.it/cRk2,
9,I Origins,2014,https://boxd.it/7aRM,
10,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,
11,Her,2013,https://boxd.it/4O24,
12,Sidewalls,2011,https://boxd.it/2EiM,
13,Perfect Sense,2011,https://boxd.it/A3O,
14,Black Swan,2010,https://boxd.it/Sw0,
15,3 Idiots,2009,https://boxd.it/1Dsa,
16,Persepolis,2007,https://boxd.it/27DC,
17,The Terminal,2004,https://boxd.it/2a2O,
18,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,
19,Before Sunset,2004,https://boxd.it/2bcg,
20,The Pianist,2002,https://boxd.it/2aqc,
21,GoodFellas,1990,https://boxd.it/29FA,
22,The Shining,1980,https://boxd.it/29Nu,
23,Persona,1966,https://boxd.it/29B4,
24,Psycho,1960,https://boxd.it/2ab2,
25,12 Angry Men,1957,https://boxd.it/2auI,
26,Edward Scissorhands,1990,https://boxd.it/2aZc,
27,Three Colours: Red,1994,https://boxd.it/2b7q,
28,Three Colours: White,1994,https://boxd.it/2b7A,
29,Three Colours: Blue,1993,https://boxd.it/2b7K,
30,Before Sunrise,1995,https://boxd.it/2bcU,
31,Trainspotting,1996,https://boxd.it/29XY,
32,Reservoir Dogs,1992,https://boxd.it/2agc,
33,The Game,1997,https://boxd.it/26vC,
34,The Silence of the Lambs,1991,https://boxd.it/2aHW,
35,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA,
36,The Piano Teacher,2001,https://boxd.it/2886,
37,Joker,2019,https://boxd.it/h4cS,
38,Manchester by the Sea,2016,https://boxd.it/b2L0,
39,Django Unchained,2012,https://boxd.it/2cCk,
40,A Separation,2011,https://boxd.it/gvo,
41,The Curious Case of Benjamin Button,2008,https://boxd.it/23Fk,
42,Slumdog Millionaire,2008,https://boxd.it/1S3E,
43,Caché,2005,https://boxd.it/2amY,
44,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E,
45,Dogville,2003,https://boxd.it/2a8W,
46,Atonement,2007,https://boxd.it/24ui,
47,Time of the Gypsies,1988,https://boxd.it/1E1Y,
48,Babel,2006,https://boxd.it/292o,
49,Café de Flore,2011,https://boxd.it/302Q,
50,Rain Man,1988,https://boxd.it/2avw,
51,The Best Offer,2013,https://boxd.it/4Oh4,
52,Begin Again,2013,https://boxd.it/5Ybs,
53,Three Steps Above Heaven,2010,https://boxd.it/cpG,
54,Piano Piano Kid,1991,https://boxd.it/322y,
