Date,Name,Year,Letterboxd URI
2020-08-16,Her,2013,https://boxd.it/4O24
2020-08-16,Sidewalls,2011,https://boxd.it/2EiM
2020-08-16,Black Swan,2010,https://boxd.it/Sw0
2020-08-16,Up,2009,https://boxd.it/1OEc
2020-08-16,The Terminal,2004,https://boxd.it/2a2O
2020-08-16,Finding Nemo,2003,https://boxd.it/72i
2020-08-16,The Bus,1974,https://boxd.it/8UhW
2020-08-16,Psycho,1960,https://boxd.it/2ab2
2020-08-16,12 Angry Men,1957,https://boxd.it/2auI
2020-08-16,Edward Scissorhands,1990,https://boxd.it/2aZc
2020-08-16,Three Colours: Red,1994,https://boxd.it/2b7q
2020-08-16,Three Colours: White,1994,https://boxd.it/2b7A
2020-08-16,Three Colours: Blue,1993,https://boxd.it/2b7K
2020-08-16,Before Sunrise,1995,https://boxd.it/2bcU
2020-08-16,Trainspotting,1996,https://boxd.it/29XY
2020-08-16,The Game,1997,https://boxd.it/26vC
2020-08-16,The Silence of the Lambs,1991,https://boxd.it/2aHW
2020-08-16,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA
2020-08-16,The Piano Teacher,2001,https://boxd.it/2886
2020-08-16,Manchester by the Sea,2016,https://boxd.it/b2L0
2020-08-16,Django Unchained,2012,https://boxd.it/2cCk
2020-08-16,A Separation,2011,https://boxd.it/gvo
2020-08-16,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E
2020-08-16,Dogville,2003,https://boxd.it/2a8W
2020-08-16,A Hidden Life,2019,https://boxd.it/eb1Q
2020-08-16,Time of the Gypsies,1988,https://boxd.it/1E1Y
2020-08-17,Life Is Beautiful,1997,https://boxd.it/29Wm
2020-08-17,Rain Man,1988,https://boxd.it/2avw
2021-01-25,Soul,2020,https://boxd.it/ioLA
2021-03-14,The Painted Veil,2006,https://boxd.it/1OyS
2021-04-24,Collateral Beauty,2016,https://boxd.it/bAIu
2021-05-04,Amélie,2001,https://boxd.it/2aUc
2021-05-05,La Belle Époque,2019,https://boxd.it/lXCE
2021-05-09,Minari,2020,https://boxd.it/mL9M
2021-05-11,As Good as It Gets,1997,https://boxd.it/268y
2021-06-22,Oscar and the Lady in Pink,2009,https://boxd.it/AkU
2021-08-11,Annette,2021,https://boxd.it/f0RS
2021-08-19,Whiplash,2014,https://boxd.it/7bQA
2021-08-23,Little White Lies,2010,https://boxd.it/JiI
2021-08-24,The Sea Inside,2004,https://boxd.it/27S8
2021-08-26,Mary and Max,2009,https://boxd.it/1y2m
2021-09-20,The Father,2020,https://boxd.it/m8Ie
2021-10-04,A Heart in Winter,1992,https://boxd.it/Ja0
2021-10-10,Cinderella Man,2005,https://boxd.it/29he
2021-11-02,"The French Dispatch of the Liberty, Kansas Evening Sun",2021,https://boxd.it/jLP8
2021-11-05,Scenes from a Marriage,2021,https://boxd.it/wzSU
2021-11-22,Eiffel,2021,https://boxd.it/omw6
2021-11-28,Cinema Paradiso,1988,https://boxd.it/1UlA
2021-12-09,Rush,2013,https://boxd.it/3lyS
2021-12-12,Jerry Maguire,1996,https://boxd.it/1YNS
2022-01-15,Don't Look Up,2021,https://boxd.it/o0Hc
2022-04-02,The Royal Tenenbaums,2001,https://boxd.it/1YHU
2022-04-17,CODA,2021,https://boxd.it/tbf4
2022-04-23,The Bridges of Madison County,1995,https://boxd.it/29Os
2022-05-29,The Past,2013,https://boxd.it/4Ovg
2022-06-07,Godspeed,2022,https://boxd.it/AHcU
2022-08-11,Submarine,2010,https://boxd.it/H4a
2022-11-28,Ordinary People,1980,https://boxd.it/1JTm
2022-12-01,Come and See,1985,https://boxd.it/1w9q
2023-01-01,Mare of Easttown,2021,https://boxd.it/u2h8
2023-01-03,Truly Madly Deeply,1990,https://boxd.it/1HaY
2023-01-07,The Banshees of Inisherin,2022,https://boxd.it/p7XS
2023-01-09,"Don't Worry, I'm Fine",2006,https://boxd.it/2908
2023-02-05,The Menu,2022,https://boxd.it/lScm
2023-02-19,Babylon,2022,https://boxd.it/mM02
2023-03-03,"Three Billboards Outside Ebbing, Missouri",2017,https://boxd.it/ceBS
2023-03-14,The Fabelmans,2022,https://boxd.it/ugoM
2023-04-03,Taste of Cherry,1997,https://boxd.it/1m8W
2023-04-09,Close,2022,https://boxd.it/y4qa
2023-06-10,Beautiful Boy,2018,https://boxd.it/g76Q
2023-06-24,"Paris, Texas",1984,https://boxd.it/29Ts
2023-07-22,Oppenheimer,2023,https://boxd.it/wUow
2023-07-27,About Dry Grasses,2023,https://boxd.it/oNbO
2023-09-14,"Two Days, One Night",2014,https://boxd.it/6A58
2023-11-01,Good Morning,1959,https://boxd.it/2lkk
2023-11-14,Close-Up,1990,https://boxd.it/1m9q
2023-12-17,I Know This Much Is True,2020,https://boxd.it/pVeo
2023-12-27,Where Is the Friend's House?,1987,https://boxd.it/ELg
2024-01-24,Husbands and Wives,1992,https://boxd.it/1pIe
2024-03-06,Prisoners,2013,https://boxd.it/4E5i
2024-03-07,A Round of Applause,2024,https://boxd.it/LJq2
2024-04-05,Certified Copy,2010,https://boxd.it/IMW
2024-04-07,The Usual Suspects,1995,https://boxd.it/29XE
2024-04-16,The Broken Circle Breakdown,2012,https://boxd.it/4pHm
2024-04-28,A Man and a Woman,1966,https://boxd.it/Wb6
2024-08-09,Inside Out 2,2024,https://boxd.it/CFrC
2024-11-17,Kramer vs. Kramer,1979,https://boxd.it/h0w
2024-12-02,Mona Lisa Smile,2003,https://boxd.it/1T0Q
2024-12-25,Don't Let Them Shoot the Kite,1989,https://boxd.it/Ff6
2025-04-17,I'm Still Here,2024,https://boxd.it/BPEO
2025-04-22,My Life as a Zucchini,2016,https://boxd.it/dL2y
2025-04-26,My Neighbor Totoro,1988,https://boxd.it/20eA
2025-07-22,The Time That Remains,2009,https://boxd.it/QP0
2025-08-02,The Things of Life,1970,https://boxd.it/25oU
2025-08-28,The Fall,2006,https://boxd.it/1NoM
2025-09-28,Black Box Diaries,2024,https://boxd.it/K5dU
2025-11-24,There Will Be Blood,2007,https://boxd.it/20Z2
2026-01-11,"Synecdoche, New York",2008,https://boxd.it/23zw
2026-01-29,Hamnet,2025,https://boxd.it/woVy
2026-03-16,Little Miss Sunshine,2006,https://boxd.it/29EW
